x,y,vars,range,sill,smooth,major_range,minor_range
-1193731.698360366,-833505.5291798848,1.2998124704028327,17417.10809537912,1.2622415465308472,1.269990345954751,12912.826918942776,29999.99999999875
-1216047.0205617694,-886257.3989262488,1.664189812720444,12700.568907633844,1.8252206081972444,5.2856679315875255,12417.070418869243,10397.715857623118
-1223034.791543339,-843528.0131250649,1.55340119736765,13011.451781278494,1.6053813312814573,4.385479603088842,7210.117004524804,11901.86703956307
-1168737.8069535347,-880522.1407370181,1.230227662803512,16622.489556957127,1.496445010427465,19.999999999999968,14461.423516650815,23975.15699556186
-1196221.2013414572,-760102.0572420594,0.5888850419168048,10131.753909351512,0.5762602788510572,5.113095308996757,10789.45636603953,23640.08112541829
-1174716.1147949784,-873192.6714124791,1.2157051751618937,18790.500933373994,1.4916570922505283,8.458933642402826,16592.323035589478,29999.999999999996
-1212888.9768901714,-854292.0170657652,1.4842527584579548,15959.177497533661,1.6203485180423738,1.9891765061779472,19269.650667718524,11326.70130134439
-1203814.4724910317,-777359.9756543679,0.699427047985783,11450.336924727178,0.641345699592588,1.3924117021700078,10203.34152538782,18439.91073428076
-1177943.8460722093,-770359.5594969351,0.5734746019650001,9063.698285775368,0.5911283285618115,8.242261638481548,8989.466223205625,10751.508998264757
-1170773.3267363631,-827220.2799784808,0.9835925940723232,19268.405540253494,1.1537329377798116,1.1254933764619384,15196.098139551255,29999.999999999996
-1208029.017308394,-829183.0590499248,1.3410207043127866,14990.994333432423,1.274900884753419,1.7012769764907238,15982.61614278905,9633.805529616606
-1191408.8769826922,-794634.5948979573,0.7075318363160823,11630.396648192933,0.6677480996647019,1.9969185062298362,12062.83719750891,19565.895859147713
-1225775.9934422388,-877618.1110679742,1.7782000962662092,12845.808688620296,2.0586211924939093,9.493025288909463,29999.999999999996,13079.92170878832
-1156315.614226786,-803873.5646935324,0.7435083404398983,14355.521557378965,0.7764121799533592,1.2800771872890864,11208.507339523161,14416.798300468123
-1246884.20411265,-767765.4559587969,1.1461072994813626,11475.538825446185,1.1341479282569038,19.999999999999996,10382.287680158392,10847.86815661303
-1173048.6772187874,-755354.6513782225,0.49666985033859484,8273.989360013466,0.4904011977976362,9.576993789919937,8959.1594469787,20313.224594360796
-1235939.390585267,-788012.2173900049,1.0421818202549415,10591.16765028219,1.0616134153113674,19.99999999999993,11646.581409280645,8698.871406085444
-1237665.4876442165,-872471.6179711741,1.9665659188463849,16456.863920110427,2.396562389302816,1.6048553556142258,9854.796733400604,9564.464000684093
-1204416.007212993,-840097.1189539087,1.4109847943921836,18490.799400902026,1.505726678004631,2.0883320973217154,13681.757970152323,22316.07560984837
-1183176.0427193078,-856220.9612481345,1.3036955679434967,18879.517828692824,1.4329549752189443,1.9945522659672776,18377.860805514498,29999.99999999996
-1200313.7056905665,-805987.1996111673,0.8436187623572798,12123.954592931726,0.782798147160534,1.8482512485697746,9562.300478303128,14074.791046948727
-1229593.1281406095,-836703.3481553582,1.5257053989670462,15076.759077054987,1.67195429621326,1.2942419323159058,7397.797734212022,11197.29592282451
-1178332.5421746762,-820950.8561911451,0.9803774072775929,14739.19248464251,1.0211808928224775,2.828365580774694,20019.275818699578,17950.21561221713
-1210919.1972985577,-797539.1837736396,0.8410678325376102,12195.366246539252,0.7536588260393315,2.1504248889569015,9997.717328176037,10019.929821442734
-1163087.9902737755,-848086.7733335932,1.0833910985716337,17872.2287697455,1.3147644228364814,1.794516597755696,17392.720850799175,12709.83153276402
