x,y,vars,range,sill,smooth,major_range,minor_range,azimuth
114961.67728724051,601577.9447546313,0.8472922421436376,81268.79479515576,0.8982391284486397,1.1850618343676658,60777.823238238,87774.45272982326,114.13811
-888233.8299517217,774443.8416852946,0.25068803741190454,144587.94068957472,0.31931980110576264,1.5,157844.07282464605,198161.55025630674,-99.70863
-2012068.7780602663,827438.9847183647,1.0942834936669095,38223.9128552572,1.122744634265146,0.5,32484.70532232345,26148.786443393117,-35.273907
2558846.5723246075,-272667.26516183186,0.9914530162227755,249999.99999993652,1.1852026363334596,0.5,135488.23952398362,249999.99999999997,24.746983
-35432.05071891891,613132.9240135858,0.7751206856948331,73286.37632316412,0.740490439422601,0.7881925593171816,39821.14417335441,102817.82481336541,125.999214
-513498.64391170815,1135921.023969884,1.3196317902838983,61999.92290665486,1.3858046552395196,1.5,61984.57754812556,73870.60365947787,-153.59663
593488.7851962023,-1720931.8783960443,1.4974186798457705,113192.22291122658,1.5773129883177377,0.5,249999.99999999863,99008.9758388013,-91.1043
2042010.7283914583,-975878.8155648545,0.5135962366287086,54306.441522132445,0.4816427082053989,0.7696153142603996,41397.192312241445,61502.793424255324,-32.696964
1383713.2005217215,534302.7769642486,1.5098872107687666,69463.19776407222,1.5666535486931825,0.5611752424103288,249999.9999999998,55793.76849749731,-13.477561
262700.8389304774,284937.03027777746,1.1202006662018305,101162.5330083678,1.2130373413841051,1.5,105685.55011206161,104988.64054470137,158.08261
2185097.7382428683,-1234068.5502617122,0.643595260400376,79470.54750217297,0.7181243196224624,0.5278529779270771,83775.29372746762,47246.56936211653,-97.198906
-1344130.8371759139,-77555.33496249793,1.3800350565000694,72370.84023191323,1.3843361237616987,0.5371924637707096,73879.68074050747,98459.76607372893,162.75685
1678086.2895637415,-1333379.3111933097,1.0043940764246404,75586.93245757716,1.0826125208447044,0.6621762270147805,33942.298037620945,132520.56932083555,-55.41478
1387485.237035066,371714.2976232148,1.352821551816392,73641.5390220498,1.5263450735906048,0.5,81640.87743949608,68926.88194869191,52.315315
2327440.0305930637,419690.1218542713,0.2694072750718699,68887.69938977076,0.27175192687090366,0.5,81122.37410184405,64145.56658102569,-35.778545
-1812739.3995269844,-424780.97717219405,0.3727288801689733,59858.4761368529,0.3890152349817349,0.5,12361.984330094876,125971.11202901303,-67.35743
1070713.84310491,-1407806.616439448,0.43022464429850477,173032.135673825,0.46438628843479685,0.5,249999.99999999232,69612.74309772307,-113.34981
87498.5909400247,174503.8294514129,0.5968035236920788,222648.6642544006,0.728898471478135,0.5,249999.99999998117,107913.00181804808,142.23232
1667800.6858239938,1099249.2956979014,1.2360278866005554,164358.29180146268,1.4376447745046272,0.5,24407.43094941338,73425.37297735085,-76.755516
-378455.2282843152,1140006.5961274942,1.7344079225270161,58549.49411344556,1.739509517842649,1.5,47954.61952634976,189837.2053233934,-126.73481
211090.1827697968,1209238.566906088,0.46004727914582816,249999.99999999997,0.5960342109563761,1.10987573468301,249999.99999999997,249999.99999932054,-172.37524
1571170.1044503544,-1240997.181321535,0.986806898285483,58185.7707580493,1.017366105019007,1.5,27157.50038762863,151001.20172820459,-69.04933
2039225.6951591214,-1286481.6518895389,0.567045064846328,38011.93620468377,0.5759667065915125,1.0357994874470486,28992.605999951662,34925.80982721225,-8.926214
-231827.1747380579,1860.7070645643398,0.8827822483687912,130005.6520443336,0.8314448456526314,0.5,100325.61098271889,171450.27848597855,154.21506
-319376.05689849984,468198.4602121101,1.2919605264248235,48748.633400526705,1.323393269963292,1.5,44402.54466937213,49410.52232933546,-143.93617
-609069.5029085814,1289966.652827816,0.9292585155217589,105583.29315131021,0.9530799010003096,0.6028310457922171,45407.43848572735,249999.99999999706,-165.55606
1831694.3149443865,-622839.8725895188,1.2190909349198031,145371.47659352943,1.403411694253281,0.5928214652257808,186607.7693882699,49821.78373421197,-36.93662
1536234.9635611102,361084.10692695156,1.3354032246126533,119351.03385631475,1.4986662130687265,0.5,140784.3863344688,75795.955317996,108.38039
65178.748805545736,1359539.9844952328,0.5378659683446265,249999.9999999965,0.5993891743893331,0.5,129329.37719164568,249999.99999999997,-156.09671
925201.4220733298,455640.40983587876,1.1068898049073932,37256.14974606347,1.1120045744582332,0.5696409601231293,27754.48224529561,39929.26789446742,60.14529
788595.0088717886,295753.86845201626,1.005413435425686,42616.411346061985,1.022204726701268,0.6670867642132554,34591.40827986994,50562.82027461716,154.25494
972874.3574729944,-640391.717981956,0.304047644632062,157426.48150359906,0.30592648354855345,0.78843476576544,113163.15636255496,174493.92926507466,-150.1686
176763.54891891824,2105977.3410064196,1.1488682555714045,101880.70193447567,1.2721532672515652,0.514546188417754,73220.70492406478,174327.03692218292,105.70463
-240448.9218598283,959104.9696369227,1.9847033342979081,65851.85362350247,2.13142841116909,1.5,122707.7012211551,49225.29978635293,-174.27147
2162485.152217728,391658.31849622773,0.2825541033965255,68587.27986368201,0.297703201476901,0.5,64766.3421952045,56445.16104478914,46.143913
-689720.1968169664,-5337.56597545417,1.4003922102098505,194726.76308992895,1.5406902803969613,0.5,249999.99999999997,249999.999999999,-143.05995
638714.5061350628,1660410.2999998294,0.8828772221009308,94578.0300534023,0.9042377181221425,0.5,82077.79707156582,57901.98050725293,72.79648
1706048.6301614083,-654037.7360218433,0.8969778739906712,249999.99999999997,1.0233269050908098,0.5809830733683549,109900.73159345493,249999.99999999718,-10.91204
1280496.7241105968,-1922157.6232903923,1.029021126786124,85708.47013886123,1.0826952666653646,0.8851372642320343,249999.99999999997,71901.58333971087,-71.58236
772449.6864274153,-1678446.8823948742,1.041810717071792,34996.36818877111,1.0243416972716626,0.615830649309254,28031.589452321423,80949.1737863998,115.98968
599031.7914837888,-915261.5225116354,0.9353217792098113,42011.468561413014,0.9571071254540593,1.5,28707.186500232558,52064.66382211847,-177.96617
2296255.2315562395,-133053.24946651235,0.5807523196112666,249999.99999999997,0.530522183947855,0.5,41296.422809541764,249999.99999999997,30.138575
1496720.3192067798,-1368379.5859940515,1.3922307538734102,67500.66468683117,1.3473291526885343,1.3206985253441936,249999.99999999997,47238.495701073734,-102.59084
1536805.4410010464,-24383.670699457638,0.6340736702971779,207785.12670173837,0.8063425484278348,0.5,249999.99999999997,141902.73840788592,74.829315
928589.1675652033,-24716.504892433528,1.0559626127672141,64343.787745012516,1.1380823412757464,0.5,62880.255275748226,49276.39690197615,-135.93146
-1517608.9512025157,-42058.42745117564,0.9676429639084486,63955.99413279578,0.8887922778131486,1.0925330390056245,71578.0766436344,55473.454007061264,-160.10843
265367.99898866285,1439906.3496978926,0.3015690889674842,35757.091146752966,0.3015735714387993,0.5395375323314516,194233.29577113234,31016.342220140996,-152.85896
-1545524.2742333862,-400708.8860625038,0.5162115925892339,46956.3165011848,0.48047120418278144,0.9050128814276209,53916.663867115094,37551.42563954424,-131.03145
1231272.2032710044,-267938.2084536804,0.7608532792552747,69624.15164169598,0.8077126434970819,1.5,53485.15774018821,249999.9999998347,-107.44455
1650028.7357667917,-869120.6753435796,0.5966031765222181,218740.4626413654,0.7860820301451417,0.7689563684673865,143858.35870283266,187385.56214002296,-26.891468
2183311.2612028215,1117282.8003491936,0.5981430105932825,37762.634681255535,0.6114519067812166,0.5833816165760152,32126.427489133017,249999.99999999953,55.955585
