x,y,vars,range,sill,smooth,major_range,minor_range,azimuth
114970.30027533555,601623.0676127733,0.8177250765023839,70128.1131332198,0.8807456223440017,1.5,45029.56891645786,68952.73796337127,114.13811
-888300.4541513878,774501.9307823307,0.3098876076551711,189158.50879170062,0.4463612198990796,1.5,249999.99999999997,197682.82677054172,-99.70863
-2012219.6983106458,827501.0488486318,1.2355951254184396,35752.26198245639,1.28056654859109,0.5,22446.38041296219,29429.19526006718,-35.273907
2559038.5050108004,-272687.71725192806,1.0937809377542058,129376.65085784135,1.1415090546700364,0.5,249999.99999999997,249999.99999999997,24.746983
-35434.70838848967,613178.913581844,0.7764910654980334,64135.51656606073,0.756524216206036,1.5,36150.033321141,187587.89423272133,125.999214
-513537.1601616265,1136006.2265669415,1.1511641508227162,56794.00864187896,1.2472955755825479,1.5,46645.27004948884,81065.9767423989,-153.59663
593533.3013067031,-1721060.9611952037,1.5748050281566297,100479.32765711361,1.663807105696291,0.5,151199.79889915322,113428.5944712131,-91.1043
2042163.8945127,-975952.0137958447,0.5138231425154004,37089.00523638971,0.4912298964250347,1.102132245771471,29571.71825930082,37802.61222926714,-32.696964
1383816.989390648,534342.8536801925,1.3842492967534081,49596.847853268155,1.3672077720614981,0.6482783751148674,105010.53542639947,33604.329977364716,-13.477561
262720.5434638504,284958.40269229,1.0053600721220806,88900.25985398918,1.090400025764331,1.5,92658.16587959212,93393.6492314726,158.08261
2185261.6369631086,-1234161.1146594216,0.6959116793154351,65032.99470155366,0.7892772481465019,0.6629586793334572,60550.63656015297,29508.701792538785,-97.198906
-1344231.6570706915,-77561.15219434351,1.2343663411397965,52524.56823290685,1.2306163828326333,0.7650866219823999,101479.55953914695,49296.717140777335,162.75685
1678212.1586223654,-1333479.3246429942,1.0592633355653538,66569.16609731437,1.149998870245022,1.012523365890893,37779.978625091935,206275.9064181417,-55.41478
1387589.308835024,371742.1789836725,1.2200924439944925,45378.874455224766,1.3006507824732791,0.5712451781870721,29043.37567943894,60699.420912847614,52.315315
2327614.6060529035,419721.60176140117,0.31115000320870567,46195.35583835419,0.31046051203905217,0.5,83285.64341484726,52917.95489808567,-35.778545
-1812875.3685788542,-424812.83893165784,0.41510114372979384,81005.93228513209,0.4452946179774791,0.5,20786.01517936608,172393.36745618566,-67.35743
1070794.1546743,-1407912.2124952865,0.572474134364491,249999.99999995093,0.6801399032867798,0.565806790065454,249999.99999999997,249999.99999999997,-113.34981
87505.15399065008,174516.91854753112,0.5838993538977986,223038.99880356004,0.7120014590070562,0.5,188409.45947967411,219110.897354826,142.23232
1667925.7833851865,1099331.7476402726,0.9771122751670519,54033.051435722016,1.0622479025711247,0.7882057086650637,33751.069313253814,53237.688603846815,-76.755516
-378483.6152651347,1140092.1051731082,1.6805264747963844,55277.485001619316,1.7173818970902428,1.5,44117.966990250345,244236.51202407535,-126.73481
211106.0161168389,1209329.268868802,0.27272596086636747,249999.99999999997,0.3442914247898069,0.5,249999.99999958498,249999.9999999637,-172.37524
1571287.9539931426,-1241090.265418544,1.0492744660708178,64682.91678805624,1.1112613508463645,1.5,39455.37553252556,150249.92578196517,-69.04933
2039378.6523819808,-1286578.147663008,0.5379298209587154,28121.89186930163,0.5518844106094853,1.5,22948.18747346986,26985.0760668277,-8.926214
-231844.56351504102,1860.8466315511614,0.8886584842938468,144361.74208644638,0.8102889328469942,0.5,121163.01385455405,249999.99999999997,154.21506
-319400.01249832707,468233.57860846585,1.2573097895617151,55914.322349414644,1.3274255032029536,1.5,57021.58753902348,46405.669708647525,-143.93617
-609115.1876897779,1290063.4100024952,0.9440835548113037,76858.36265955053,0.9151083638263905,0.5837690865774395,40278.428763035205,249999.99999999983,-165.55606
1831831.705757088,-622886.5902517294,0.9648649841874489,71826.33076465839,1.0121574873722954,1.5,57824.21145521657,54485.038509253754,-36.93662
1536350.1927062916,361111.1909433729,1.1197917530977979,48433.62968637303,1.1750599540823226,1.0021085910236398,65282.92821144478,35994.260560476294,108.38039
65183.63770059543,1359641.9601916391,0.4607319420608209,58298.266918823865,0.4645707193790275,0.5685671343786043,85609.33581370085,249999.99999988687,-156.09671
925270.81911969,455674.5862842612,1.100434392447331,29399.044218927516,1.1503242065147712,0.8598487363068394,25586.283241881065,34934.27042503708,60.14529
788654.1594125079,295776.0522105261,0.9973549118765721,37344.503269242196,1.0335669361046285,0.6707300571246719,36947.830835228706,24497.948779842045,154.25494
972947.3303470919,-640439.7521642228,0.3230758814952136,169644.85188406744,0.2945724372355021,0.6292147100295441,125826.01290781875,115249.56558643213,-150.1686
176776.8075109464,2106135.3051034044,1.051689076504595,73672.76954454601,1.134206985990633,0.5,47025.395561755984,76559.66896514363,105.70463
-240466.9573325147,959176.9097036524,1.8113274246337865,58602.52464343411,1.9579211178555933,1.5,112128.4972906153,48782.53991043582,-174.27147
2162647.354824405,391687.69580784626,0.28382051874753106,66355.4737132373,0.29252746295032706,0.5,58392.83390544598,45130.13049192373,46.143913
